,,,,归属母公司股东的净利润同比增长率(%),,,,,,,归属母公司股东的净利润-扣除非经常损益同比增长率(%),,,,,,,营业总收入同比增长率(%),,,,,,,销售毛利率,,,,,,,销售净利率,,,,,,,加权平均净资产收益率,,,,,,
ts_code,name,area,list_date,20200331_x,20190331_x,20191231_x,20181231_x,20171231_x,20161231_x,20151231_x,20200331_y,20190331_y,20191231_y,20181231_y,20171231_y,20161231_y,20151231_y,20200331_x,20190331_x,20191231_x,20181231_x,20171231_x,20161231_x,20151231_x,20200331_y,20190331_y,20191231_y,20181231_y,20171231_y,20161231_y,20151231_y,20200331_x,20190331_x,20191231_x,20181231_x,20171231_x,20161231_x,20151231_x,20200331_y,20190331_y,20191231_y,20181231_y,20171231_y,20161231_y,20151231_y
300623.SZ,捷捷微电,江苏,20170314,21.3683,3.5055,14.4972,14.9287,23.8113,44.2424,4.5211,18.23,7.06,19.56,10.21,23.15,43.2383,6.495,24.6124,2.5753,25.4016,24.7591,29.9143,37.3332,6.0023,44.5494,45.4003,45.1189,48.8632,55.8798,54.7859,53.1022,27.069,27.904,28.1358,30.8238,33.4603,35.1096,33.4279,1.84,2.52,13.32,12.86,14.29,25.88,20.58
300625.SZ,三雄极光,广东,20170317,-11.4243,-83.1068,36.0418,-29.4629,3.6547,35.888,6.2506,-574.94,-86.88,72.01,-46.56,-8.39,38.1572,3.4054,-44.1858,-7.2147,2.9359,7.3661,19.4351,2.7049,-2.7551,33.2312,33.5296,34.8094,31.634,33.7164,37.0072,32.9556,2.3966,1.5102,9.7942,7.4108,11.2801,12.9974,9.8235,0.24,0.31,11.38,8.4,14.09,36.64,29.81
300632.SZ,光莆股份,福建,20170406,-12.797,116.8256,46.1552,126.7624,21.5056,38.2849,43.9549,3.64,111.22,29.61,193.06,12.2,39.8031,65.8939,-6.4307,57.6067,26.894,56.3398,54.5449,22.9319,24.0572,31.1173,34.2192,36.9808,32.8129,28.7669,31.434,31.9882,12.6579,14.5056,18.0154,15.5168,10.5531,13.4227,11.9278,2.78,4.05,24.56,20.84,11.78,16.32,13.83
300671.SZ,富满电子,深圳,20170705,83.0432,-80.1871,-31.9915,-7.897,52.9569,38.8281,8.4152,108.63,-86.4,-36.85,-22.62,49.67,37.3484,5.4662,-10.0673,8.0652,20.4425,12.952,33.3972,20.647,6.8736,21.7774,16.3267,22.4503,28.7695,28.6116,28.3202,29.7993,6.342,3.034,6.1158,10.7279,13.2797,11.5755,10.0874,1.11,0.65,6.43,10.27,15.3,15.42,12.85
300672.SZ,国科微,湖南,20170712,-934.0088,91.0812,21.2863,6.6981,3.0051,23.151,4.1453,18.13,-33.54,275.61,120.37,-97.65,33.322,21.8176,50.8241,5.9026,35.6847,-2.8279,-15.8018,33.2181,102.9984,40.5487,35.3999,46.8647,41.6603,40.3979,50.2816,47.5084,-69.2847,-28.6044,12.4246,11.2148,11.1402,10.1269,10.138,-3.15,-0.36,6.26,5.64,6.4,7.57,12.6
300708.SZ,聚灿光电,江苏,20171016,162.3998,-442.9309,-60.0211,-81.4847,81.5349,158.819,-58.95,33.69,-1021.17,50.93,-237.67,179.9,108.76,-55.42,36.8,67.4477,104.6119,-10.0211,29.3225,36.6144,18.8097,15.6626,11.8355,12.9016,7.4328,28.9689,19.9576,25.6336,1.988,-4.3583,0.7124,3.6461,17.7191,12.6228,6.6628,0.72,-1.16,1.13,2.86,20.41,13.6814,6.0826
300842.SZ,帝科股份,江苏,20200618,53.2935,,26.744,-2.7366,143.2333,568.7733,,-19.17,,44.32,-39.08,258.08,728.457,,-8.3135,,56.234,-6.9577,204.9536,812.2858,,16.1533,18.532,16.9914,19.8893,21.1218,22.8936,15.228,15.9895,9.5635,5.4412,6.7076,6.4166,8.0442,-15.655,8.38,,19.24,18.6,46.69,88.44,
600171.SH,上海贝岭,上海,19980924,-61.2501,437.2015,65.9445,-41.241,358.7469,-25.9847,32.1772,24.68,42.74,40.91,44.79,85.7,-22.03,238.6936,5.1882,13.2403,12.0208,39.5944,10.3675,4.0645,4.5539,28.9912,29.6568,29.8595,25.6121,24.1352,25.895,25.0583,20.1167,52.6462,27.7116,13.176,31.1548,7.967,10.9639,1.26,3.83,8.22,4.25,8.82,2.05,3.1
600206.SH,有研新材,北京,19990319,-53.748,532.2876,34.1615,81.2787,-9.0455,57.8619,-49.6401,-115.37,175.3615,97.18,3159.8762,-107.72,-33.95,116.6708,38.7716,59.4631,119.2252,16.8713,7.1335,47.0518,5.5222,3.3131,4.969,3.6507,6.5163,6.565,6.1718,8.2794,0.2721,0.9848,1.0739,1.7303,1.1399,1.3264,1.2814,0.22,0.5,3.53,2.73,1.54,1.72,1.05
600360.SH,华微电子,吉林,20010316,-45.3061,-27.5994,-38.6864,11.7578,133.5228,-5.555,20.5871,-48.76,-28.74,-40.78,16.15,182.96,-14.54,44.14,7.0673,-7.4582,-3.0877,4.5491,17.1239,7.3197,5.2472,17.9923,21.6515,20.5125,22.7167,20.698,19.5922,22.1897,2.1507,3.9797,3.6934,6.2604,5.7963,2.635,2.8933,0.28,0.7,2.3,4.85,4.59,2.02,2.18
